Nom,postal,INS
Buissenal,7911,51013
Buissonville,5580,91024
Buizingen,1501,23013
Buken,1910,23014
Bulskamp,8630,38006
Bunsbeek,3380,24018
Burcht,2070,11011
BURDINNE,4210,61010
Bure,6927,91025
BURG-REULAND,4790,63087
Burst,9420,41009
Bury,7602,57015
Buvingen,3891,71010
Buvrinnes,7133,56014
Buzenol,6743,85003
Buzet,6230,52009
Callenelle,7604,57016
Calonne,7642,57017
Cambron-Casteau,7940,53015
Cambron-Saint-Vincent,7870,53016
Carlsbourg,6850,84012
Carnières,7141,56015
Casteau,7061,55006
Casteau (Mons),7020,
Casteau (Soignies),7061,
Castillon,5650,93009
CELLES (Hainaut),7760,57018
Celles (Liège),4317,64016
Celles (Namur),5561,91026
Cerexhe-Heuseux,4632,62021
CERFONTAINE,5630,93010
Céroux-Mousty,1341,25016
Chaineux,4650,63014
Chairière,5550,91027
Champion,5020,92024
Champlon,6971,83010
Chanly,6921,84013
Chantemelle,6742,85004
Chapelle-à-Oie,7903,57019
Chapelle-à-Wattines,7903,57020
CHAPELLE-LEZ-HERLAIMONT,7160,52010
Chapon-Seraing,4537,61011
CHARLEROI,6000,52011
Charneux,4654,63015
Chassepierre,6824,85005
CHASTRE,1450,25117
CHÂTELET,6200,52012
Châtelineau,6200,52013
Châtillon,6747,85006
CHAUDFONTAINE,4050,62022
CHAUMONT-GISTOUX,1325,25018
Chênée,4032,62023
Cherain,6673,82008
Cheratte,4602,62024
Chercq,7521,57021
Chevetogne,5590,91028
Chevron,4987,63016
CHIÈVRES,7950,51014
CHIMAY,6460,56016
CHINY,6810,85007
Chokier,4400,62025
Ciergnon,5560,91029
CINEY,5590,91030
Ciplet,4260,64017
Ciply,7024,53018
Clabecq,1480,25019
CLAVIER,4560,61012
Clermont-lez-Walcourt,5650,93012
Clermont-sous-Huy,4480,61013
Clermont-sur-Berwinne,4890,63017
Cognelée,5022,92025
COLFONTAINE,7340,53082
COMBLAIN-AU-PONT,4170,62026
Comblain-Fairon,4180,61014
Comines,7780,54002
COMINES-WARNETON,7780,54010
Conneux,5590,91031
Corbais,1435,25020
Corbion,6838,84014
Cordes,7910,51015
Corenne,5620,93013
Cornesse,4860,63018
Cornimont,5555,91032
Corroy-le-Château,5032,92026
Corroy-le-Grand,1325,25021
Corswarem,4257,64018
Cortil-Noirmont,1450,25022
Cortil-Wodon,5380,92027
Couillet,6010,52014
COURCELLES,6180,52015
Courrière,5336,92028
Cour-sur-Heure,6120,56017
COURT-SAINT-ÉTIENNE,1490,25023
Couthuin,4218,61015
Coutisse,5300,92029
Couture-Saint-Germain,1380,25024
COUVIN,5660,93014
Cras-Avernas,4280,64019
Crehen,4280,64020
CRISNÉE,4367,64021
Croix-lez-Rouveroy,7120,56018
Crombach,4784,63019
Crupet,5332,92030
Cuesmes,7033,53019
Cugnon,6880,84015
Cul-des-Sarts,5660,93015
Custinne,5562,91033
Dadizele,8890,36003
Dailly,5660,93016
Daknam,9160,46004
DALHEM,4607,62027
DAMME,8340,31006
Dampicourt,6767,85008
Dampremy,6020,52016
Darion,4253,64022
Daussois,5630,93017
Daussoulx,5020,92031
Dave,5100,92032
DAVERDISSE,6929,84016
DEERLIJK,8540,34009
Deftinge,9570,45004
DE HAAN,8420,35029
DEINZE,9800,44011
De Klinge,9170,46005
De Moeren,8630,38007
Denderbelle,9280,42005
Denderhoutem,9450,41010
DENDERLEEUW,9470,41011
DENDERMONDE,9200,42006
Denderwindeke,9400,41012
Denée,5537,92033
DENTERGEM,8720,37002
DE PANNE,8660,38008
DE PINTE,9840,44012
Dergneau,7912,51016
DESSEL,2480,13006
Desselgem,8792,34010
DESTELBERGEN,9070,44013
Desteldonk,9042,44014
Deurle,9831,44015
Deurne,2100,11012
Deurne-bij-Diest,3290,24019
Deurne-Borgerhout,,11063
Deux-Acren,7864,55007
Dhuy,5310,92034
Diegem,1831,23015
DIEPENBEEK,3590,71011
DIEST,3290,24020
Diets-Heur,3700,73011
Dikkebus,8900,33005
Dikkele,9630,45005
Dikkelvenne,9890,44016
DIKSMUIDE,8600,32003
DILBEEK,1700,23016
Dilsen,3650,72005
DILSEN-STOKKEM,3650,72041
DINANT,5500,91034
Dion,5570,91035
Dion-le-Mont,1325,25025
Dion-le-Val,1325,25026
Dion-Valmont,1325,25115
DISON,4820,63020
Dochamps,6960,83011
Doel,9130,46006
Dohan,6836,84017
DOISCHE,5680,93018
Dolembreux,4140,62028
DONCEEL,4357,64023
Dongelberg,1370,25027
Donk,3540,71012
Donstiennes,6536,56019
Dorinne,5530,91036
Dormaal,3440,24021
Dottignies,7711,54003
DOUR,7370,53020
Dourbes,5670,93019
Dranouter,8951,33006
Dréhance,5500,91037
Driekapellen,8600,32028
Drieslinter,3350,24022
Drogenbos,1620,22001
DROGENBOS ,1620,23098
Drongen,9031,44017
Dudzele,8380,31007
DUFFEL,2570,12009
Duisburg,3080,24023
Duras,3803,71013
DURBUY,6940,83012
Durnal,5530,91038
Dworp,1653,23017
Ében-Émael,4690,62029
Ebly,6860,84018
ÉCAUSSINNES,7190,55050
Écaussinnes-d'Enghien,7190,55008
Écaussinnes-Lalaing,7191,55009
EDEGEM,2650,11013
Edelare,9700,45006
EEKLO,9900,43005
Eernegem,8480,35003
Egem,8740,37003
Eggewaartskapelle,8630,38009
ÉGHEZÉE,5310,92035
Éhein,4120,61016
Éhein (Engis),4480,
Éhein (Neupré),4120,
Eigenbilzen,3740,73012
Eindhout,2430,13007
Eine,9700,45007
Eisden,3630,73013
Eke,9810,44018
Ekeren,2180,11014
Eksaarde,9160,46007
