Nom,postal,INS
Rotheux-Rimière,4120,62090
ROTSELAAR,3110,24094
Roucourt,7601,57071
Rouveroy,7120,56066
Rouvreux,4140,62091
ROUVROY,6767,85047
Roux,6044,52061
Roux-Miroir,1315,25093
Roy,6900,83045
Rozebeke,9630,45042
Ruddervoorde,8020,31025
Ruette,6760,85030
Ruien,9690,45043
Ruisbroek (-bij-Brussel),1601,23069
Ruisbroek (-bij-Puurs),2870,12032
RUISELEDE,8755,37012
Rukkelingen-Loon,3870,73072
Rulles,6724,85031
Rumbeke,8800,36017
RUMES,7610,57072
Rumillies,7540,57073
Rummen,3454,24095
Rumsdorp,3400,24096
RUMST,2840,11037
Runkelen,3803,71050
Rupelmonde,9150,46018
Russeignies,7750,57074
Rutten,3700,73073
Saint-Amand,6221,52062
Saint-André,4606,62092
Saint-Aubin,5620,93064
Saint-Denis,7034,55037
Saint-Denis (-Bovesse),5081,92103
Sainte-Cécile,6820,85032
Sainte-Marie,6800,84058
Sainte-Marie (-sur-Semois),6740,85033
Sainte-Marie-Chevigny,6800,84058
SAINTE-ODE,6680,82038
Saintes,1480,25097
Saint-Georges,4470,64065
SAINT-GEORGES-SUR-MEUSE,4470,64065
Saint-Gérard,5640,92104
Saint-Germain,5310,92105
Saint-Géry,1450,25094
SAINT-GHISLAIN,7330,53070
SAINT-GILLES,1060,21013
SAINT-HUBERT,6870,84059
Saint-Jean-Geest,1370,25095
SAINT-JOSSE-TEN-NOODE,1210,21014
SAINT-LÉGER,6747,85034
Saint-Léger (-lez-Pecq),7730,57075
Saint-Marc,5003,92106
Saint-Mard,6762,85035
Saint-Martin,5190,92107
Saint-Maur,7500,57076
Saint-Médard,6887,84060
SAINT-NICOLAS,4420,62093
Saint-Pierre,6800,84061
Saint-Rémy,6460,56067
Saint-Remy (-lez-Dalhem),4672,62094
Saint-Remy-Geest,1370,25096
Saint-Sauveur,7912,51053
Saint-Servais,5002,92108
Saint-Séverin,4550,61053
Saint-Symphorien,7030,53071
Saint-Vaast,7100,55038
Saint-Vincent,6730,85036
Saive,4671,62095
Salles,6460,56068
Samart,5600,93065
SAMBREVILLE,5060,92137
Samrée,6982,83046
SANKT VITH,4780,63067
Sars-la-Bruyère,7080,53072
Sars-la-Buissière,6542,56069
Sart (-lez-Spa),4845,63068
Sart-Bernard,5330,92109
Sart-Custinne,5575,91115
Sart-Dames-Avelines,1495,25098
Sart-en-Fagne,5600,93066
Sart-Eustache,5070,92110
Sart-Saint-Laurent,5070,92111
Sautin,6470,56070
Sautour,5600,93067
Sauvenière,5030,92112
SCHAERBEEK,1030,21015
Schaffen,3290,24097
Schalkhoven,3732,73074
Schaltin,5364,91116
Schelderode,9820,44058
Scheldewindeke,9860,44059
SCHELLE,2627,11038
Schellebelle,9260,42018
Schendelbeke,9506,41059
Schepdaal,1703,23070
Scherpenheuvel,3270,24098
SCHERPENHEUVEL-ZICHEM,3270,24134
SCHILDE,2970,11039
Schönberg,4782,63069
Schoonaarde,9200,42019
Schore,8433,35016
Schorisse,9688,45044
SCHOTEN,2900,11040
Schriek,2223,12033
Schuiferskapelle,8700,37013
Schulen,3540,71051
Sclayn,5300,92113
Scy,5361,91117
Seilles,5300,61054
Sélange,6781,81019
Seloignes,6596,56071
Semmerzake,9890,44060
SENEFFE,7180,52063
Sensenruth,6832,84062
Seny,4557,61055
Senzeille,5630,93068
Septon,6940,83047
SERAING,4100,62096
Seraing-le-Château,4537,61056
Serinchamps,5590,91118
Serskamp,9260,42020
Serville,5521,93069
'S Gravenvoeren,3798,73075
'S Gravenwezel,2970,11041
'S Herenelderen,3700,73076
Sibret,6640,82026
Sijsele,8340,31026
Silenrieux,5630,93070
SILLY,7830,55039
Sinaai,9112,46019
Sinsin,5377,91119
Sint-Agatha-Rode,3040,24099
SINT-AMANDS,2890,12034
Sint-Amandsberg,9040,44061
Sint-Andries (-bij-Brugge),8200,31027
Sint-Antelinks,9550,41060
Sint-Baafs-Vijve,8710,37014
Sint-Blasius-Boekel,9630,45045
Sint-Denijs,8554,34034
Sint-Denijs-Boekel,9630,45046
Sint-Eloois-Vijve,8793,34035
Sint-Eloois-Winkel,8880,36018
Sint-Genesius-Rode,1640,22004
SINT-GENESIUS-RODE ,1640,23101
Sint-Gillis-bij-Dendermonde,9200,42021
SINT-GILLIS-WAAS,9170,46020
Sint-Goriks-Oudenhove,9620,41061
Sint-Huibrechts-Hern,3730,73077
Sint-Huibrechts-Lille,3910,72033
Sint-Jacobs-Kapelle,8600,32022
Sint-Jan,8900,33025
Sint-Jan-in-Eremo,9982,43013
Sint-Job-in-'t-Goor,2960,11042
Sint-Joris,8620,38021
Sint-Joris (-ten-Distel),8730,31028
Sint-Joris-Weert,3051,24100
Sint-Joris-Winge,3390,24101
SINT-KATELIJNE-WAVER,2860,12035
Sint-Katherina-Lombeek,1742,23071
Sint-Kornelis-Horebeke,9667,45047
Sint-Kruis,8310,31029
Sint-Kruis-Winkel,9042,44063
Sint-Kwintens-Lennik,1750,23072
Sint-Lambrechts-Herk,3500,71052
SINT-LAUREINS,9980,43014
Sint-Laureins-Berchem,1600,23073
Sint-Lenaarts,2960,11043
Sint-Lievens-Esse,9550,41062
SINT-LIEVENS-HOUTEM,9520,41063
Sint-Margriete,9981,43015
Sint-Margriete (Kortenaken),3470,
Sint-Margriete (Tienen),3300,
Sint-Margriete-Houtem,3300,24102
Sint-Maria-Horebeke,9667,45048
Sint-Maria-Latem,9630,45049
Sint-Maria-Lierde,9570,45050
Sint-Maria-Oudenhove,9620,41064
Sint-Maria-Oudenhove (Brakel),9660,
Sint-Maria-Oudenhove (Zottegem),9620,
Sint-Martens-Bodegem,1700,23074
SINT-MARTENS-LATEM,9830,44064
Sint-Martens-Leerne,9800,44065
Sint-Martens-Lennik,1750,23075
Sint-Martens-Lierde,9572,45051
Sint-Martens-Voeren,3790,73078
Sint-Michiels,8200,31030
SINT-NIKLAAS,9100,46021
Sint-Pauwels,9170,46022
Sint-Pieters-Kapelle (Vlaams-Brabant),1541,23076
Sint-Pieters-Kapelle (West-Vlaanderen),8433,35017
SINT-PIETERS-LEEUW,1600,23077
Sint-Pieters-op-de-Dijk,8000,31044
Sint-Pieters-Rode,3220,24103
Sint-Pieters-Voeren,3792,73079
Sint-Rijkers,8690,38022
Sint-Stevens-Woluwe,1932,23078
SINT-TRUIDEN,3800,71053
Sint-Ulriks-Kapelle,1700,23079
Sippenaeken,4851,63070
Sirault,7332,53073
Sivry,6470,56072
SIVRY-RANCE,6470,56088
Sleidinge,9940,44066
Slijpe,8433,35018
Slins,4450,62097
Sluizen,3700,73080
Smeerebbe-Vloerzegem,9506,41065
Smetlede,9340,41066
Smuid,6890,84063
Snaaskerke,8470,35019
Snellegem,8490,31031
Soheit-Tinlot,4557,61057
Sohier,6920,84064
SOIGNIES,7060,55040
Soiron,4861,63071
Solre-Saint-Géry,6500,56073
Solre-sur-Sambre,6560,56074
SOMBREFFE,5140,92114
SOMME-LEUZE,5377,91120
Sommethonne,6769,85037
Sommière,5523,91121
Somzée,5651,93071
Sorée,5340,92115
Sorinne-la-Longue,5333,92116
Sorinnes,5503,91122
Sosoye,5537,92117
Sougné-Remouchamps,4920,62098
Soulme,5680,93072
SOUMAGNE,4630,62099
Soumoy,5630,93073
Souvret,6182,52064
Sovet,5590,91123
Soy,6997,83048
Soye,5150,92118
SPA,4900,63072
Spalbeek,3510,71054
Spermalie,8433,35028
Spiennes,7032,53074
Spiere,8587,34036
SPIERE-HELKIJN,8587,34043
Spontin,5530,91124
Spouwen,3740,73108
SPRIMONT,4140,62100
Spy,5190,92119
STABROEK,2940,11044
STADEN,8840,36019
Stalhille,8490,31032
Stambruges,7973,51054
Stave,5646,93074
Stavele,8691,38023
STAVELOT,4970,63073
Steendorp,9140,46023
Steenhuffel,1840,23080
Steenhuize-Wijnhuize,9550,41067
Steenkerke,8630,38024
Steenkerque,7090,55041
STEENOKKERZEEL,1820,23081
STEKENE,9190,46024
Stembert,4801,63074
Stembert-Heusy,,63091
Stene,8400,35020
Sterrebeek,1933,23082
Stevoort,3512,71055
Stokkem,3650,73081
Stokrooie,3511,71056
STOUMONT,4987,63075
Stuivekenskerke,8600,32023
Suarlée,5020,92120
Sugny,5550,84066
Surice,5600,93075
Suxy,6812,84067
Tailles,6661,82027
Taintignies,7618,57077
Tamines,5060,92121
Tarcienne,5651,93076
Tavier,4163,61059
Taviers,5310,92122
Tavigny,6662,82028
TELLIN,6927,84068
Templeuve,7520,57078
Temploux,5020,92123
TEMSE,9140,46025
TENNEVILLE,6970,83049
Teralfene,1790,23085
Terhagen,2840,11045
Termes,6813,85038
TERNAT,1740,23086
TERVUREN,3080,24104
Terwagne,4560,61060
TESSENDERLO,3980,71057
Testelt,3272,24105
Teuven,3793,73082
THEUX,4910,63076
Thiaumont,6717,81020
Thieu,7070,55043
Thieulain,7901,57079
Thieusies,7061,55044
Thiméon,6230,52065
Thimister,4890,63077
THIMISTER-CLERMONT,4890,63089
Thimougies,7533,57080
Thines,1402,25099
Thirimont,6500,56076
Thisnes,4280,64066
Thommen,4791,63078
Thon,5300,92124
Thorembais-les-Béguines,1360,25100
Thorembais-Saint-Trond,1360,25101
Thoricourt,7830,55045
Thuillies,6536,56077
THUIN,6530,56078
Thulin,7350,53076
Thumaide,7971,51055
Thy-le-Bauduin,5621,93077
Thy-le-Château,5651,93078
Thynes,5502,91125
Thys,4367,64067
Tiegem,8573,34037
Tielen,2460,13038
Tielrode,9140,46026
TIELT,8700,37015
TIELT-WINGE,3390,24135
TIENEN,3300,24107
Tignée,4630,62123
Tihange,4500,61061
Tildonk,3150,24108
Tilff,4130,62101
Tillet,6680,82029
Tilleur,4420,62102
Tillier,5380,92125
Tilly,1495,25102
TINLOT,4557,61081
Tintange,6637,82030
TINTIGNY,6730,85039
Tisselt,2830,12036
Tohogne,6941,83050
Tollembeek,1570,23087
TONGEREN,3700,73083
Tongerlo (-bij-Geel),2260,13039
Tongerlo (-bij-Maaseik),3960,72034
Tongre-Saint-Martin,7950,51057
Tongrinne,5140,92126
Tontelange,6717,81022
Torgny,6767,85040
TORHOUT,8820,31033
Tourinne (-la-Chaussée),4263,64068
Tourinnes-la-Grosse,1320,25103
Tourinnes-Saint-Lambert,1457,25104
TOURNAI,7500,57081
Tournay,6840,84069
Tourpes,7904,51058
Transinne,6890,84070
Trazegnies,6183,52066
Treignes,5670,93079
Trembleur,4670,62103
TREMELO,3120,24109
Trivières,7100,55046
Trognée,4280,64069
TROIS-PONTS,4980,63086
TROOZ,4870,62122
TUBIZE,1480,25105
TURNHOUT,2300,13040
UCCLE,1180,21016
Ucimont,6833,84071
Uikhoven,3631,73084
Uitbergen,9290,42022
Uitkerke,8370,31034
Ulbeek,3832,73085
Upigny,5310,92127
Ursel,9910,44067
Vaalbeek,3054,24110
Val-Meer,3770,73086
Vance,6741,85041
Varendonk,2431,13041
Varsenare,8490,31035
Vaucelles,5680,93080
Vaulx,7536,57082
Vaulx (-lez-Chimay),6462,56079
Vaux-Chavanne,6960,83051
Vaux-et-Borset,4530,61062
Vaux-lez-Rosières,6640,82031
Vaux-sous-Chèvremont,4051,62104
VAUX-SUR-SÛRE,6640,82036
Vechmaal,3870,73087
Vedrin,5020,92128
Veerle,2431,13042
Velaine,5060,92129
Velaines,7760,57083
Veldegem,8210,31036
Veldwezelt,3620,73088
Vellereille-les-Brayeux,7120,56080
Vellereille-le-Sec,7120,55047
Velm,3806,71058
Velroux,4460,62105
Veltem-Beisem,3020,24111
Velzeke-Ruddershove,9620,41069
Vencimont,5575,91126
Vergnies,6440,56081
VERLAINE,4537,61063
Verlée,5370,91127
Verrebroek,9130,46027
VERVIERS,4800,63079
Vesqueville,6870,84072
Veulen,3870,73089
VEURNE,8630,38025
Vezin,5300,92130
Vezon,7538,57084
Viane,9500,41070
Vichte,8570,34038
VIELSALM,6690,82032
Viemme,4317,64070
Viersel,2240,11046
Vierset-Barse,4577,61064
Vierves,5670,93081
Vierves-sur-Viroin,5670,93081
Viesville,6230,52067
Vieux-Genappe,1472,25106
Vieuxville,4190,61065
Vieux-Waleffe,4530,61066
Villance,6890,84073
Ville-en-Hesbaye,4260,64071
Ville-Pommerœul,7322,51059
Villerot,7334,53077
Villers-aux-Tours,4161,61067
Villers-Deux-Églises,5630,93082
Villers-devant-Orval,6823,85042
Villers-en-Fagne,5600,93083
Villers-la-Bonne-Eau,6600,82033
Villers-la-Loue,6769,85043
Villers-la-Tour,6460,56082
VILLERS-LA-VILLE,1495,25107
VILLERS-LE-BOUILLET,4530,61068
Villers-le-Gambon,5600,93084
Villers-le-Peuplier,4280,64072
Villers-le-Temple,4550,61069
Villers-l'Évêque,4340,62106
Villers-lez-Heest,5080,92131
Villers-Perwin,6210,52068
Villers-Poterie,6280,52069
Villers-Saint-Amand,7812,51061
Villers-Saint-Ghislain,7031,55048
Villers-Saint-Siméon,4453,62107
Villers-sur-Lesse,5580,91128
Villers-sur-Semois,6740,85044
Ville-sur-Haine,7070,55049
Ville-sur-Haine (Le Rœulx),7070,
Ville-sur-Haine (Mons),7021,
VILVOORDE,1800,23088
Vinalmont,4520,61070
Vinderhoute,9921,44068
Vinkem,8630,38026
Vinkt,9800,44069
Virelles,6461,56083
Virginal-Samme,1460,25108
VIROINVAL,5670,93090
VIRTON,6760,85045
VISÉ,4600,62108
Vissenaken,3300,24113
Vissoul,,61084
Vivegnis,4683,62109
Vivy,6833,84074
Vladslo,8600,32024
Vlamertinge,8908,33026
Vlekkem,9420,41071
VLETEREN,8640,33041
Vlezenbeek,1602,23089
Vliermaal,3724,73090
Vliermaalroot,3721,73091
Vlierzele,9520,41072
Vlijtingen,3770,73092
Vlimmeren,2340,13043
Vlissegem,8421,35021
Vodecée,5600,93085
Vodelée,5680,93086
VOEREN,3790,73109
Vogenée,5650,93087
Volkegem,9700,45052
Vollezele,1570,23090
Vonêche,5570,91129
Voorde,9400,41073
Voormezele,8902,33027
Voort,3840,73093
Voroux-Goreux,4347,62110
Voroux-lez-Liers,4451,62111
VORSELAAR,2290,13044
Vorsen,3890,71059
Vorst ,2430,13045
VOSSELAAR,2350,13046
Vosselare,9850,44070
Vossem,3080,24114
Vottem,4041,62112
Vrasene,9120,46028
Vremde,2531,11047
Vreren,3700,73094
Vresse,5550,91130
VRESSE-SUR-SEMOIS,5550,91143
Vroenhoven,3770,73095
Vucht,3630,73096
Vurste,9890,44071
Vyle-et-Tharoul,4570,61071
Waanrode,3473,24115
Waarbeke,9506,41074
Waardamme,8020,31037
Waarloos,2550,11048
Waarmaarde,8581,34039
WAARSCHOOT,9950,44072
Waasmont,3401,24116
WAASMUNSTER,9250,42023
WACHTEBEKE,9185,44073
Wadelincourt,7971,51062
Wagnelée,6223,52070
Waha,6900,83053
Waillet,5377,91131
WAIMES,4950,63080
Wakken,8720,37016
WALCOURT,5650,93088
Walem,2800,12037
WALHAIN,1457,25124
Walhain-Saint-Paul,1457,25109
Walhorn,4711,63081
Walsbets,3401,24117
Walshoutem,3401,24118
Waltwilder,3740,73097
Wambeek,1741,23091
Wancennes,5570,91132
Wandre,4020,62113
Wanfercée-Baulet,6224,52071
Wange,3400,24119
Wangenies,6220,52072
Wanlin,5564,91133
Wanne,4980,63082
Wannebecq,7861,55051
Wannegem-Lede,9772,45053
Wansin,4280,64073
WANZE,4520,61072
Wanzele,9340,41075
Warchin,7548,57085
Warcoing,7740,57086
Wardin,6600,82034
WAREGEM,8790,34040
WAREMME,4300,64074
Waret-la-Chaussée,5310,92133
Waret-l'Évêque,4217,61073
Warisoulx,5080,92134
Warnant,5537,91134
Warnant-Dreye,4530,61074
Warneton,7784,54009
Warquignies,7340,53078
Warsage,4608,62114
Warzée,4590,61075
Wasmes,7340,53079
Wasmes-Audemez-Briffœil,7604,57087
Wasmuel,7390,53080
WASSEIGES,4219,64075
Waterland-Oudeman,9988,43016
WATERLOO,1410,25110
WATERMAEL-BOITSFORT,1170,21017
Watervliet,9988,43017
Watou,8978,33028
Waudrez,7131,56084
Waulsort,5540,91135
Wauthier-Braine,1440,25111
WAVRE,1300,25112
Wavreille,5580,91136
Wayaux,6210,52073
Ways,1474,25113
Webbekom,3290,24120
Wechelderzande,2275,13047
Weelde,2381,13048
Weerde,1982,23092
Weert (-bij-Puurs),2880,12038
Wegnez,4860,63083
Weillen,5523,91137
Welden,9700,45054
WELKENRAEDT,4840,63084
Welle,9473,41076
WELLEN,3830,73098
WELLIN,6920,84075
Wemmel,1780,22005
WEMMEL ,1780,23102
Wenduine,8420,31038
Wépion,5100,92135
Werbomont,4190,61076
Werchter,3118,24121
Wéris,6940,83054
Werken,8610,32025
Werm,3730,73099
WERVIK,8940,33029
Wespelaar,3150,24122
Westende,8434,35022
WESTERLO,2260,13049
Westkapelle,8300,31039
Westkerke,8460,35023
Westmalle,2390,11049
Westmeerbeek,2235,13050
Westouter,8954,33030
Westvleteren,8640,33031
WETTEREN,9230,42025
WEVELGEM,8560,34041
Wezemaal,3111,24123
Wezembeek-Oppem,1970,22006
WEZEMBEEK-OPPEM ,1970,23103
Wezeren,3401,24124
Wez-Velvain,7620,57089
Wibrin,6666,82035
WICHELEN,9260,42026
Widooie,3700,73100
Wiekevorst,2222,12039
WIELSBEKE,8710,37017
Wierde,5100,92136
Wiers,7608,57090
Wiesme,5571,91138
Wieze,9280,42027
Wihéries,7370,53081
Wihogne,4452,62115
Wijchmaal,3990,72035
Wijer,3850,71060
WIJNEGEM,2110,11050
Wijshagen,3670,72036
Wijtschate,8953,33032
Wilderen,3803,71061
Willaupuis,7904,57091
Willebringen,3370,24125
WILLEBROEK,2830,12040
Willemeau,7506,57092
Willerzie,5575,91139
Wilmarsdonk,2040,11062
Wilrijk,2610,11051
Wilsele,3012,24126
Wilskerke,8431,35024
Wimmertingen,3501,71062
Winenne,5570,91140
WINGENE,8750,37018
Winksele,3020,24127
Wintershoven,3722,73101
Wodecq,7890,51063
Woesten,8640,33033
Wolkrange,6780,81023
WOLUWE-SAINT-LAMBERT,1200,21018
WOLUWE-SAINT-PIERRE,1150,21019
Wolvertem,1861,23093
WOMMELGEM,2160,11052
Wommersom,3350,24128
Wonck,4690,62116
Wondelgem,9032,44074
Wontergem,9800,44075
Wortegem,9790,45055
WORTEGEM-PETEGEM,9790,45061
Wortel,2323,13051
Woubrechtegem,9550,41077
Woumen,8600,32026
Wulpen,8670,38027
Wulvergem,8952,33034
Wulveringem,8630,38028
WUUSTWEZEL,2990,11053
Xhendelesse,4652,63085
Xhendremael,4432,62117
Xhoris,4190,61077
Yernée-Fraineux,4550,61078
Yves-Gomezée,5650,93089
YVOIR,5530,91141
Zaffelare,9080,44076
Zandbergen,9506,41078
Zande,8680,35025
ZANDHOVEN,2240,11054
Zandvliet,2040,11700
Zandvoorde (Ieper),8980,33035
Zandvoorde (Oostende),8400,35026
Zarlardinge,9500,41079
Zarren,8610,32027
Zarren-Werken,8610,32029
ZAVENTEM,1930,23094
ZEDELGEM,8210,31040
Zegelsem,9660,45056
ZELE,9240,42028
Zelem,3545,71063
Zellik,1731,23095
ZELZATE,9060,43018
ZEMST,1980,23096
Zepperen,3800,71064
Zerkegem,8490,31041
Zevekote,8470,35027
Zeveneken,9080,44077
Zeveren,9800,44078
Zevergem,9840,44079
Zichem,3271,24129
Zichen-Zussen-Bolder,3770,73102
Zillebeke,8902,33036
ZINGEM,9750,45057
Zoerle-Parwijs,2260,13052
ZOERSEL,2980,11055
Zolder,3550,71065
ZOMERGEM,9930,44080
ZONHOVEN,3520,71066
ZONNEBEKE,8980,33037
Zonnegem,9520,41080
ZOTTEGEM,9620,41081
Zoutenaaie,8630,38029
ZOUTLEEUW,3440,24130
Zuidschote,8904,33038
ZUIENKERKE,8377,31042
ZULTE,9870,44081
Zulzeke,9690,45058
ZUTENDAAL,3690,71067
ZWALM,9630,45065
ZWEVEGEM,8550,34042
Zwevezele,8750,37019
Zwijnaarde,9052,44082
ZWIJNDRECHT,2070,11056
