Ecole fondamentale libre Institut du Sacré-Coeur,Avenue de Burlet 12 ,7130,504112422,41746384,Maternel ordinaire
Ecole fondamentale libre Institut du Sacré-Coeur,Avenue de Burlet 12 ,7130,504112422,41746384,Primaire ordinaire
Ecole fondamentale libre du Sacré-Coeur de Stockel,Rue Félix De Keuster 58 ,1150,508393079,44672781,Maternel ordinaire
Ecole fondamentale libre du Sacré-Coeur de Stockel,Rue Félix De Keuster 58 ,1150,508393079,44672781,Primaire ordinaire
Ecole primaire libre Mater Dei,Avenue des Grands Prix 69 ,1150,508318139,44617528,Primaire ordinaire
Ecole maternelle Mater-Dei,Avenue des Grands Prix 69B ,1150,508317448,44615802,Maternel ordinaire
Ecole fondamentale libre Saint-Joseph,Chemin des Ecoliers 1 ,7034,504726073,40129870,Maternel ordinaire
Ecole fondamentale libre Saint-Joseph,Chemin des Ecoliers 1 ,7034,504726073,40129870,Primaire ordinaire
Ecole fondamentale libre Saint-Joseph,Rue du Château 2 ,7021,504640950,40434301,Maternel ordinaire
Ecole fondamentale libre Saint-Joseph,Rue du Château 2 ,7021,504640950,40434301,Primaire ordinaire
Ecole fondamentale St-Joseph et Marie-Madeleine Ellezelles,Place de Lahamaide 2 ,7890,506945971,37225727,Maternel ordinaire
Ecole fondamentale St-Joseph et Marie-Madeleine Ellezelles,Place de Lahamaide 2 ,7890,506945971,37225727,Primaire ordinaire
Ecole fondamentale St-Joseph et Marie-Madeleine Ellezelles,Rue du Pont 54 ,7890,507324114,36834294,Maternel ordinaire
Ecole fondamentale St-Joseph et Marie-Madeleine Ellezelles,Rue du Pont 54 ,7890,507324114,36834294,Primaire ordinaire
Ecole fondamentale libre Notre-Dame du Sacré-Coeur,Boulevard Lambermont 31 ,1030,508737879,43759650,Maternel ordinaire
Ecole fondamentale libre Notre-Dame du Sacré-Coeur,Boulevard Lambermont 31 ,1030,508737879,43759650,Primaire ordinaire
Ecole fondamentale libre - Institut Champagnat,Square François Riga 39 ,1030,508746629,43864980,Maternel ordinaire
Ecole fondamentale libre - Institut Champagnat,Square François Riga 39 ,1030,508746629,43864980,Primaire ordinaire
Ecole fondamentale libre Saint-Nicolas,Rue du Try 9 ,1495,505615547,44952857,Maternel ordinaire
Ecole fondamentale libre Saint-Nicolas,Rue du Try 9 ,1495,505615547,44952857,Primaire ordinaire
Ecole fondamentale libre Saint-Amand,Rue Georges Chevalier 2b ,7332,505090575,37631908,Maternel ordinaire
Ecole fondamentale libre Saint-Amand,Rue du Salon 9 ,7332,505060577,37866300,Maternel ordinaire
Ecole fondamentale libre Saint-Amand,Rue du Salon 9 ,7332,505060577,37866300,Primaire ordinaire
Ecole fondamentale libre Saint-André,Rue du Roi Albert 193 ,4680,507085461,56456906,Maternel ordinaire
Ecole fondamentale libre Saint-André,Rue du Roi Albert 193 ,4680,507085461,56456906,Primaire ordinaire
Ecole maternelle libre,Rue Haute 9 ,6210,505264004,44823726,Maternel ordinaire
Ecole fondamentale libre Saint-Joseph d'Hermée,Rue du Vieux Maieur 2A ,4680,507099083,56184179,Maternel ordinaire
Ecole fondamentale libre Saint-Joseph d'Hermée,Rue du Vieux Maieur 2A ,4680,507099083,56184179,Primaire ordinaire
Ecole fondamentale libre Saint-Martin,Grand-Route de Ciney 84 ,5503,502595014,49793816,Maternel ordinaire
Ecole fondamentale libre Saint-Martin,Grand-Route de Ciney 84 ,5503,502595014,49793816,Primaire ordinaire
Ecole fondamentale libre,Rue d'Elvaux 28 ,4650,506384387,57950628,Maternel ordinaire
Ecole fondamentale libre,Rue d'Elvaux 28 ,4650,506384387,57950628,Primaire ordinaire
Ecole fondamentale libre Saint-Martin,Rue des Déportés 34 ,7070,505301624,41499352,Maternel ordinaire
Ecole fondamentale libre Saint-Martin,Rue des Déportés 34 ,7070,505301624,41499352,Primaire ordinaire
Ecole fondamentale libre Saint-Martin,Rue des Déportés 9-13 ,7070,0,0,Primaire ordinaire
Ecole fondamentale libre Collège Saint-Augustin,Avenue Astrid 13 ,6280,503389659,45274079,Maternel ordinaire
Ecole fondamentale libre Collège Saint-Augustin,Avenue Astrid 13 ,6280,503389659,45274079,Primaire ordinaire
Ecole fondamentale libre Notre-Dame,Chemin des Bois 37 ,6220,504791071,45433986,Maternel ordinaire
Ecole fondamentale libre Notre-Dame,Chemin de Mons 28 ,6220,504873883,45509148,Maternel ordinaire
Ecole fondamentale libre Notre-Dame,Chemin de Mons 28 ,6220,504873883,45509148,Primaire ordinaire
Ecole fondamentale libre Notre-Dame,Chaussée de Gilly 365 ,6220,504445847,45172195,Maternel ordinaire
Ecole fondamentale libre de l'Enfant Jésus,Rue Argentin 22 ,7140,504546044,42445341,Maternel ordinaire
Ecole fondamentale libre de l'Enfant Jésus,Rue Argentin 22 ,7140,504546044,42445341,Primaire ordinaire
Ecole fondamentale catholique de Flobecq,Rue des Camomilles 14 ,7880,507397618,37345201,Maternel ordinaire
Ecole fondamentale catholique de Flobecq,Rue des Camomilles 14 ,7880,507397618,37345201,Primaire ordinaire
Ecole fondamentale libre de Maria-Hilf,Rue de Moresnet 133 ,4851,507370289,59883374,Maternel ordinaire
Ecole fondamentale libre de Maria-Hilf,Rue de Moresnet 133 ,4851,507370289,59883374,Primaire ordinaire
Ecole fondamentale libre de La Croix,Grand-Place 30 ,6590,500287718,41645479,Maternel ordinaire
Ecole fondamentale libre de La Croix,Grand-Place 30 ,6590,500287718,41645479,Primaire ordinaire
Ecole fondamentale libre - Institut Saint-Joseph Châtelet,Place Jean Guyot 1 2,6200,504050713,45259809,Maternel ordinaire
Ecole fondamentale libre - Institut Saint-Joseph Châtelet,Place Jean Guyot 1 2,6200,504050713,45259809,Primaire ordinaire
Ecole fondamentale libre - Institut Saint-Joseph Châtelet,Rue Jouay 94 ,6240,504260920,45278183,Maternel ordinaire
Ecole fondamentale libre - Institut Saint-Joseph Châtelet,Rue Jouay 94 ,6240,504260920,45278183,Primaire ordinaire
Ecole fondamentale libre Saint-Martin,Route de Namêche 32 ,5310,505591318,49121761,Maternel ordinaire
Ecole fondamentale libre Saint-Martin,Route de Namêche 32 ,5310,505591318,49121761,Primaire ordinaire
Ecole fondamentale libre Saint-Maximin,Rue du Centre 22 ,4160,504811010,55197018,Maternel ordinaire
Ecole fondamentale libre Saint-Maximin,Rue du Centre 22 ,4160,504811010,55197018,Primaire ordinaire
Enseignement fondamental libre Saint-Martin,Rue de l'Eglise 30 ,4557,504825176,53820455,Maternel ordinaire
Enseignement fondamental libre Saint-Martin,Rue de l'Eglise 30 ,4557,504825176,53820455,Primaire ordinaire
Enseignement fondamental libre Saint-Martin,Rue de la Rolée 4 ,4550,505046179,54221928,Maternel ordinaire
Enseignement fondamental libre Saint-Martin,Rue de la Rolée 4 ,4550,505046179,54221928,Primaire ordinaire
Ecole fondamentale libre,Rue de Martel 9 ,6950,501280601,53416223,Maternel ordinaire
Ecole fondamentale libre,Rue du Chapitre 11 ,6950,501282046,53401735,Primaire ordinaire
Ecole fondamentale libre,Rue du Chapitre 5 ,6950,501282349,53409927,Primaire ordinaire
Ecole fondamentale libre Hotton-Melreux,Rue d'Izegem 14 ,6990,502671589,54428780,Maternel ordinaire
Ecole fondamentale libre Hotton-Melreux,Rue d'Izegem 14 ,6990,502671589,54428780,Primaire ordinaire
Ecole fondamentale libre Hotton-Melreux,Avenue de la Gare 124 ,6990,502815310,54399061,Maternel ordinaire
Ecole fondamentale libre Hotton-Melreux,Avenue de la Gare 124 ,6990,502815310,54399061,Primaire ordinaire
Ecole fondamentale libre,Rue Albert Moulin 5 ,7610,505549535,33054256,Maternel ordinaire
Ecole fondamentale libre,Rue Albert Moulin 5 ,7610,505549535,33054256,Primaire ordinaire
Ecole fondamentale libre Notre-Dame de Beauraing,Rue du Village 20 ,5081,505504033,47983539,Maternel ordinaire
Ecole fondamentale libre Notre-Dame de Beauraing,Rue du Village 20 ,5081,505504033,47983539,Primaire ordinaire
Ecole maternelle libre de Viemme,Rue de Huy 177 ,4317,506258738,52666219,Maternel ordinaire
Ecole libre St VICTOR,Rue Albert Ier 2 ,5190,504446626,46715310,Maternel ordinaire
Ecole libre St VICTOR,Rue Albert Ier 2 ,5190,504446626,46715310,Primaire ordinaire
Ecole fondamentale libre Saint-Laurent,Rue Henri Danvoie 2 ,6220,504569183,45526046,Maternel ordinaire
Ecole fondamentale libre Saint-Laurent,Rue Henri Danvoie 2 ,6220,504569183,45526046,Primaire ordinaire
Ecole primaire libre Sainte-Elisabeth des Ursulines,Rue Valenciennoise 1B ,7000,504581222,39637899,Primaire ordinaire
Ecole maternelle Saint-François des Ursulines,Chemin de la Procession 74 ,7000,504647933,39609119,Maternel ordinaire
Ecole maternelle Saint-François des Ursulines,Chemin de la Procession 74 ,7000,504647933,39609119,Primaire ordinaire
Ecole maternelle Saint-François des Ursulines,Rue Valenciennoise 1A ,7000,504580397,39622188,Maternel ordinaire
Ecole primaire libre Sainte-Angèle des Ursulines,Rue Valenciennoise 1C ,7000,504581632,39638275,Primaire ordinaire
Ecole fondamentale libre du Sart-Culpart,Sentier du Procès 16 ,6060,504324153,44903549,Maternel ordinaire
Ecole fondamentale libre du Sart-Culpart,Sentier du Procès 16 ,6060,504324153,44903549,Primaire ordinaire
Ecole fondamentale libre du Sart-Culpart,Rue Thiot 31 ,6060,504321372,44935906,Maternel ordinaire
Ecole fondamentale libre du Sart-Culpart,Rue Thiot 31 ,6060,504321372,44935906,Primaire ordinaire
Ecole fondamentale libre du Sart-Culpart,Rue du Nord 161 ,6060,504333537,44837939,Maternel ordinaire
Ecole fondamentale libre du Sart-Culpart,Rue du Nord 161 ,6060,504333537,44837939,Maternel ordinaire
Ecole fondamentale libre du Sart-Culpart,Rue du Nord 161 ,6060,504333537,44837939,Primaire ordinaire
Ecole fondamentale Saint-Joseph Vezon-Wasmes,Rue des Prisonniers 36B ,7538,505687582,35078466,Maternel ordinaire
Ecole fondamentale Saint-Joseph Vezon-Wasmes,Rue des Prisonniers 36B ,7538,505687582,35078466,Primaire ordinaire
Athénée Ganenou - Ecole fondamentale libre,Rue du Melkriek 3 ,1180,507875910,43259525,Maternel ordinaire
Athénée Ganenou - Ecole fondamentale libre,Rue du Melkriek 3 ,1180,507875910,43259525,Primaire ordinaire
Ecole fondamentale libre Institut des Ursulines,Boulevard Léopold II 268 ,1081,508625716,43319178,Maternel ordinaire
Ecole fondamentale libre Institut des Ursulines,Boulevard Léopold II 268 ,1081,508625716,43319178,Primaire ordinaire
Ecole fondamentale libre Saint-André,Chaussée de Boondael 216 ,1050,508210942,43805355,Maternel ordinaire
Ecole fondamentale libre Saint-André,Chaussée de Boondael 216 ,1050,508210942,43805355,Primaire ordinaire
Ecole primaire libre Saint-André,Chaussée de Boondael 216 ,1050,508210942,43805355,Primaire ordinaire
Ecole fondamentale Saint-Charles,Place Valère Grimonpont 13 ,7711,507202626,33091733,Maternel ordinaire
Ecole fondamentale Saint-Charles,Place de la Résistance 8 ,7711,507277256,33052218,Maternel ordinaire
Ecole fondamentale Saint-Charles,Place de la Résistance 8 ,7711,507277256,33052218,Primaire ordinaire
Ecole fondamentale libre - Institut Saint-Joseph,Avenue de la Salm 17 ,4980,503700097,58715165,Maternel ordinaire
Ecole fondamentale libre - Institut Saint-Joseph,Avenue de la Salm 17 ,4980,503700097,58715165,Primaire ordinaire
Ecole primaire libre - Institut Saint-Louis,Rue Pepin 7 ,5000,504651126,48678231,Primaire ordinaire
Ecole fondamentale libre Saint-Maur,Rue des Hirondelles 73 ,4000,506180314,55666620,Maternel ordinaire
Ecole fondamentale libre Saint-Maur,Rue des Hirondelles 73 ,4000,506180314,55666620,Primaire ordinaire
Institut Saint-Rémi et Sainte-Walburge - Ecole fondamentale,Rue de Campine 465 ,4000,506553224,55712302,Maternel ordinaire
Institut Saint-Rémi et Sainte-Walburge - Ecole fondamentale,Rue de Campine 465 ,4000,506553224,55712302,Primaire ordinaire
Institut Saint-Rémi et Sainte-Walburge - Ecole fondamentale,Vieille Voie de Tongres 25 ,4000,506576027,55707067,Primaire ordinaire
Ecole fondamentale libre - Institut Saint-Stanislas,Avenue des Nerviens 115 ,1040,508382171,43919241,Maternel ordinaire
Ecole fondamentale libre - Institut Saint-Stanislas,Avenue des Nerviens 115 ,1040,508382171,43919241,Primaire ordinaire
La Ribambelle Ecole fond libre du Centre scolaire Don Bosco,Rue Grande 9 ,7380,504074953,36827588,Maternel ordinaire
La Ribambelle Ecole fond libre du Centre scolaire Don Bosco,Rue Grande 9 ,7380,504074953,36827588,Primaire ordinaire
Ecole fondamentale libre Saint-Joseph,Rue Derbèque 32 ,6040,504420509,44141114,Primaire ordinaire
Ecole fondamentale libre Saint-Joseph,Rue Masure 3 ,6040,504441775,44124666,Maternel ordinaire
Ecole fondamentale libre Saint-Joseph,Place Mattéoti 3 ,6040,504415042,44511902,Maternel ordinaire
Ecole fondamentale libre Saint-Joseph,Place Mattéoti 3 ,6040,504415042,44511902,Primaire ordinaire
Institut Saint-Albert - Ecole fondamentale libre,Chaussée de Gand 1163 ,1082,508656155,42962551,Maternel ordinaire
Institut Saint-Albert - Ecole fondamentale libre,Chaussée de Gand 1163 ,1082,508656155,42962551,Primaire ordinaire
Ecole fondamentale libre - Institut Albert Ier,Place du Vieux Marché 17 ,7850,506948107,40439498,Maternel ordinaire
Ecole fondamentale libre - Institut Albert Ier,Place du Vieux Marché 17 ,7850,506948107,40439498,Primaire ordinaire
Ecole fondamentale libre Saint-Vincent de Paul,Rue de Sambre 22 ,7850,506956127,40387945,Maternel ordinaire
Ecole fondamentale libre Saint-Vincent de Paul,Rue de Sambre 22 ,7850,506956127,40387945,Primaire ordinaire
Ecole fondamentale libre Saint-Vincent de Paul,Pavé d'Ath 1 ,7850,506899115,40304279,Primaire ordinaire
Ecole primaire libre Saint-Nicolas,Rue du Viaduc 69 ,7850,506973411,40415901,Primaire ordinaire
Ecole fondamentale libre Saint-Pie X,Avenue Saint-Pie X 5 ,1340,506742024,45545089,Maternel ordinaire
Ecole fondamentale libre Saint-Pie X,Avenue Saint-Pie X 5 ,1340,506742024,45545089,Primaire ordinaire
Ecole fondamentale libre de la Sainte-Famille,Avenue Léopold Wiener 34 ,1170,508068839,44077653,Maternel ordinaire
Ecole fondamentale libre de la Sainte-Famille,Avenue Léopold Wiener 34 ,1170,508068839,44077653,Primaire ordinaire
Ecole maternelle libre du Béguinage - Inst de l'Enfant-Jésus,Rue du Béguinage 1 ,1400,505985120,43203721,Maternel ordinaire
Ecole maternelle libre d'applic - Institut de l'Enfant-Jésus,Rue des Coquelets 24 ,1400,506025710,43215918,Maternel ordinaire
Ecole primaire libre d'application Inst. de l'Enfant-Jésus,Rue de Sotriamont 1 ,1400,506032743,43238336,Primaire ordinaire
Ecole primaire libre d'application du Béguinage,Rue de Soignies 26A ,1400,505978094,43205130,Primaire ordinaire
Ecole fondamentale libre Al-Ghazali,avenue d'Auderghem 158 ,1040,508361268,43873832,Maternel ordinaire
Ecole fondamentale libre Al-Ghazali,avenue d'Auderghem 158 ,1040,508361268,43873832,Primaire ordinaire
"Ecole fondamentale ""La Plume""",Rue Delaunoy 40 ,1080,508523225,43313901,Maternel ordinaire
"Ecole fondamentale ""La Plume""",Rue Delaunoy 40 ,1080,508523225,43313901,Primaire ordinaire
"Ecole fondamentale libre confessionnelle islamique ""La Vertu",Chaussée de Haecht 138 ,1030,0,0,Maternel ordinaire
"Ecole fondamentale libre confessionnelle islamique ""La Vertu",Chaussée de Haecht 138 ,1030,0,0,Primaire ordinaire
Ecole fondamentale libre L'Autre Ecole,Place Félix Govaert 1 ,1160,508209502,44276512,Maternel ordinaire
Ecole fondamentale libre L'Autre Ecole,Place Félix Govaert 1 ,1160,508209502,44276512,Primaire ordinaire
Ecole fondamentale libre Saint-Barthélémy,Rue Adolphe Chif 42 ,6200,504130882,45158315,Maternel ordinaire
Ecole fondamentale libre Saint-Barthélémy,Rue Adolphe Chif 42 ,6200,504130882,45158315,Primaire ordinaire
Ecole fondamentale libre Sainte-Marie,Rue Lloyd George 10 ,6200,504123840,45190930,Maternel ordinaire
Ecole fondamentale libre Sainte-Marie,Rue Lloyd George 10 ,6200,504123840,45190930,Primaire ordinaire
Ecole fondamentale paroissiale Saint-Martin,Rue du Pontin 30 ,7060,506087845,40404984,Maternel ordinaire
Ecole fondamentale paroissiale Saint-Martin,Rue du Pontin 30 ,7060,506087845,40404984,Primaire ordinaire
Ecole fondamentale libre Saint-Vincent,Chaussée d'Enghien 47 ,7060,505830359,40668999,Maternel ordinaire
Ecole fondamentale libre Saint-Vincent,Rue de Steenkerque 21 ,7060,505809408,40732133,Primaire ordinaire
Ecole fondamentale libre Saint-Vincent,Rue du Tour Petit Château 60 ,7060,505720432,40632467,Maternel ordinaire
