,,,,,,,,,
nummer_instelling,naam instelling,adres,fusiegemeente,postnummer,Gewoon kleuteronderwijs,Gewoon lager onderwijs,Buitengewoon kleuteronderwijs,Buitengewoon lager onderwijs,Totaal
1537,GO! basisschool De Reinpad-Gelieren Genk,Weg naar As 199  ,Genk,3600,385,575,,,960
1545,GO! basisschool Europaschool Genk,Keinkesstraat 19   ,Genk,3600,138,189,,,327
1552,GO! basisschool Genk,Ijzersteenweg 10   ,Genk,3600,53,89,,,142
1561,GO! basisschool Stippe Stap Genk,Halmstraat 12   ,Genk,3600,65,124,,,189
1578,GO! basisschool Het Kompas Genk,Zonhoverweg 67   ,Genk,3600,52,129,,,181
1586,GO! basisschool De Papillon Diepenbeek,Toekomststraat 45   ,Diepenbeek,3590,22,29,,,51
1602,GO! basisschool Op Het Boseind Maasmechelen,Oude Baan 372  ,Maasmechelen,3630,155,238,,,393
1611,GO! basisschool Kameleon Eisden,Heikampstraat 35   ,Maasmechelen,3630,71,82,,,153
1628,GO! tehuis en basisschool Heikamp Maasmechelen,Heikampstraat 37   ,Maasmechelen,3630,,40,,,40
1636,GO! basisschool Maasland,Brammertstraatje 12   ,Dilsen-Stokkem,3650,80,132,,,212
1644,GO! basisschool De Lettertuin Opglabbeek,Weg naar Opoeteren 13   ,Opglabbeek,3660,60,90,,,150
1651,GO! basisschool De Duizendpoot As,Kerkplein 3    ,As,3665,56,67,,,123
1669,GO! basisschool De Springplank Neeroeteren,Scholtisplein 21   ,Maaseik,3680,106,144,,,250
1677,GO! basisschool De Sprong Maaseik,Burgemeester Philipslaan 78   ,Maaseik,3680,120,183,,,303
1685,GO! basisschool De Regenboog Bree,Regenboogstraat 5_A  ,Bree,3960,46,95,,,141
1693,GO! basisschool Tongeren Centrum,Moerenstraat 4    ,Tongeren,3700,48,63,,,111
1701,GO! basisschool Merlijn Tongeren,Sacramentstraat 70   ,Tongeren,3700,99,163,,,262
1719,GO! freinetschool De Mijlpaal Sint - Truiden,Koninksemsteenweg 174  ,Tongeren,3700,61,83,,,144
1727,GO! basisschool Martinusschool Bilzen,Sint Martinusstraat 3    ,Bilzen,3740,106,136,,,242
1751,GO! basisschool Klavertje Vijf Sint-Truiden,Grevensmolenweg 21   ,Sint-Truiden,3800,100,158,,,258
1768,GO! basisschool Schuttershof Sint-Truiden,Tichelrijlaan 1    ,Sint-Truiden,3800,206,364,,,570
1792,GO! basisschool De Eik Wellen,Zonneveldweg 9    ,Wellen,3830,114,187,,,301
1818,GO! basisschool De Bilter Heers,Nieuwe Steenweg 20   ,Heers,3870,82,112,,,194
1826,GO! basisschool Mercurius Lommel,Mudakkers 25   ,Lommel,3920,95,171,,,266
1834,GO! basisschool De Kleine Ont-dekker Lommel,Hendrik van Veldekestraat 55   ,Lommel,3920,49,89,,,138
1842,GO! basisschool Hercker Hof Herk-de-stad,Dokter Vanweddingenlaan 10_1 ,Herk-de-Stad,3540,65,118,,,183
1859,GO! basisschool De Windmolen Lummen,Windmolenstraat 9    ,Lummen,3560,28,45,,,73
1867,GO! basisschool De Berk Paal,Tessenderlosesteenweg 82   ,Beringen,3583,122,126,,,248
1875,GO! basisschool De Klimop Ham,Speelstraat 1    ,Ham,3945,60,95,,,155
1883,GO! basisschool Leopoldsburg,Atheneumstraat 2    ,Leopoldsburg,3970,118,187,,,305
1909,GO! basisschool De Letterberg Tessenderlo,Gerhagenstraat 62   ,Tessenderlo,3980,100,171,,,271
1917,GO! basisschool De Wissel Veerle,Kapellestraat 9    ,Laakdal,2431,54,106,,,160
1925,GO! basisschool De Boomgaard Meerhout,Veldstraat 81   ,Meerhout,2450,78,102,,,180
1941,GO! basisschool De Taalkoffer Komen,Kastelenlaan 109  ,Comines-Warneton,7780,39,40,,,79
1958,GO! basisschool Brugge Centrum,Spiegelrei 15   ,Brugge,8000,86,127,,,213
1974,GO! basisschool De Springplank Brugge,Hugo Losschaertstraat 5    ,Brugge,8000,189,249,,,438
1982,GO! basisschool Koning Boudewijn Oostkamp,Marechalstraat 48   ,Oostkamp,8020,108,154,,,262
1991,GO! basisschool De Drie Beertjes Beernem,Parkstraat 4    ,Beernem,8730,43,56,,,99
2006,GO! basisschool Malpertuis Ruddervoorde,Kanunnik Andriesstraat 11   ,Oostkamp,8020,16,29,,,45
2014,GO! basisschool De Valke Lichtervelde,Torhoutstraat 65   ,Lichtervelde,8810,32,51,,,83
2022,GO! basisschool De Ladder Torhout,Rijselstraat 110  ,Torhout,8820,63,99,,,162
2031,GO! basisschool 't Klavertje Staden,Diksmuidestraat 1    ,Staden,8840,24,24,,,48
2048,GO! basisschool W'ijzer Diksmuide,Grauwe Broedersstraat 73   ,Diksmuide,8600,110,150,,,260
2071,GO! basisschool Manitoba Sint-Andries,Manitobalaan 48   ,Brugge,8200,135,133,,,268
2089,GO! basisschool De Glimlach Zedelgem,Sint-Elooistraat 2    ,Zedelgem,8210,62,94,,,156
