,,,,,,,,,
nummer_instelling,naam instelling,adres,fusiegemeente,postnummer,Gewoon kleuteronderwijs,Gewoon lager onderwijs,Buitengewoon kleuteronderwijs,Buitengewoon lager onderwijs,Totaal
17293,Vrije Basisschool,Ieperstraat 47   ,Kortemark,8610,31,59,,,90
17301,Vrije Basisschool - De        Tweesprong,Kronevoordestraat 62   ,Kortemark,8610,177,164,,,341
17319,Gemeentelijke Basisschool,Torhoutstraat 38   ,Kortemark,8610,89,106,,,195
17327,Vrije Basisschool,Hogestraat 15   ,Kortemark,8610,36,39,,,75
17368,Vrije Basisschool,Bruggestraat 24   ,Staden,8840,233,175,,,408
17376,Vrije Basisschool,Smissestraat 7    ,Houthulst,8650,167,170,,,337
17384,Vrije Basisschool,Terreststraat 4_D  ,Houthulst,8650,120,145,,,265
17401,Vrije Basisschool,Kouterstraat 28_b ,Houthulst,8650,81,126,,,207
17434,Gemeentelijke Basisschool,Roeselarestraat 18   ,Diksmuide,8600,88,189,,,277
17442,Vrije Basisschool,Beerststraat 36   ,Diksmuide,8600,77,80,,,157
17467,Vrije Basisschool,Nieuwpoortstraat 4    ,Diksmuide,8600,47,83,,,130
17475,Vrije Basisschool,Iepersteenweg 8    ,Diksmuide,8600,51,96,,,147
17483,Gemeentelijke Lagere School,Mgr. Schottestraat 3_b  ,Houthulst,8650,,67,,,67
17509,Vrije Basisschool,Hoogstraat 15   ,Alveringem,8690,89,152,,,241
17517,Gemeentelijke Basisschool -   Spelenderwijs,Nieuwstraat 50   ,Alveringem,8690,40,67,,,107
17541,Vrije Basisschool,Gistelse Steenweg 440  ,Brugge,8200,154,291,,,445
17558,Vrije Basisschool -           Sint-Lodewijkscollege,Doornstraat 3    ,Brugge,8200,133,192,,,325
17566,Vrije Basisschool - Sint-Lode-wijkscollege - afd. Zandstraat,Zandstraat 69   ,Brugge,8200,158,157,,,315
17574,Vrije Basisschool - Sint-Lode-wijkscollege Afd. Immaculata,Koningin Astridlaan 4    ,Brugge,8200,146,307,,,453
17582,Vrije Basisschool - Sint-     Lodewijkscollege,Spoorwegstraat 250  ,Brugge,8200,72,126,,,198
17591,Gemeentelijke Basisschool - DeTriangel,Diksmuidse Heerweg 159  ,Brugge,8200,115,203,,,318
17608,Vrije Basisschool -           De Wassenaard,Westernieuwweg 5    ,Jabbeke,8490,203,320,,,523
17616,Vrije Basisschool - Het Dorp,Groenestraat 29   ,Zedelgem,8210,134,175,,,309
17624,Vrije Basisschool,Pastoor Staelensstraat 3_A  ,Zedelgem,8210,144,236,,,380
17632,Vrije Basisschool-De Stapsteen,Kloosterstraat 2    ,Zedelgem,8210,150,184,,,334
17657,Vrije Basisschool - De Klim-  toren VZW,Kapellestraat 16   ,Jabbeke,8490,158,266,,,424
17665,Vrije Basisschool - Zerkegem  Snellegem - De Loopbrug,Vedastusstraat 96   ,Jabbeke,8490,110,162,,,272
17673,Vrije Basisschool - 't Boompje,Cathilleweg 82   ,Jabbeke,8490,45,55,,,100
17699,Vrije Basisschool - H.Familie,Stedebeekpad 2    ,Oudenburg,8460,128,182,,,310
17715,Vrije Basisschool,Gravenbos 6    ,Gistel,8470,127,295,,,422
17723,Vrije Basisschool - Driespan,Tempeldreef 6    ,Gistel,8470,147,149,,,296
17756,Gemeentelijke Basisschool,Vrijheidsstraat 1    ,Gistel,8470,78,98,,,176
17764,Vrije Basisschool,Stationsstraat 1_A  ,Ichtegem,8480,189,249,,,438
17772,Gemeentelijke Basisschool,Westkerkestraat 53   ,Ichtegem,8480,190,229,,,419
17781,Vrije Basisschool,Schoolstraat 19   ,Zedelgem,8211,135,213,,,348
17798,Vrije Basisschool -           De Schatkist,Koekelarestraat 14   ,Ichtegem,8480,156,235,,,391
17814,Vrije Basisschool,Kerkstraat 2_a  ,Koekelare,8680,246,288,,,534
17831,Vrije Basisschool,Pastoor de Neveplein 18   ,Knokke-Heist,8300,79,168,,,247
17848,Gemeentelijke Basisschool,Edward Verheyestraat 5    ,Knokke-Heist,8300,79,162,,,241
17855,Vrije Basisschool,Sportlaan 8    ,Knokke-Heist,8300,115,206,,,321
17863,Vrije Basisschool,Keuvelhoekstraat 100  ,Knokke-Heist,8300,128,210,,,338
17871,Vrije Basisschool - H-Hart,Jef Mennekenslaan 3    ,Knokke-Heist,8300,52,105,,,157
17889,Vrije Basisschool - Kantelberg,De Linde 94   ,Brugge,8310,114,146,,,260
17905,Vrije Lagere School,Fortuinstraat 29   ,Brugge,8310,,399,,,399
17921,Vrije Basisschool,Collegestraat 24_bi,Brugge,8310,85,134,,,219
17939,Vrije Basisschool - OLVA De   Meersen,Astridlaan 400  ,Brugge,8310,94,124,,,218
17947,Vrije Basisschool,Sint-Katarinastraat 132  ,Brugge,8310,152,197,,,349
17954,Vrije Basisschool,Baron Ruzettelaan 439  ,Brugge,8310,111,148,,,259
17962,Vrije Basisschool - Ter Bunen,Bruggestraat 30_A ,Beernem,8730,151,232,,,383
17971,Vrije Basisschool,Kloosterstraat 4_A  ,Damme,8340,95,111,,,206
17988,Gemeentelijke Basisschool,Stationsstraat 13   ,Damme,8340,54,123,,,177
17996,Vrije Basisschool - Onze-     Lieve-Vrouwecollege Afdeling  Vivenkapelle,Bradericplein 16_A ,Damme,8340,45,96,,,141
18002,Vrije Basisschool,Vredestraat 1_2  ,Damme,8340,109,163,,,272
18011,Vrije Basisschool - Sint-     Pieter,Weststraat 117  ,Blankenberge,8370,93,125,,,218
18028,Vrije Basisschool - Sint-     Jozef,Schaapstraat 8    ,Blankenberge,8370,79,123,,,202
18036,Gemeentelijke Basisschool-Ter Poorten,Stationsstraat 25   ,Brugge,8380,46,88,,,134
18044,Vrije Basisschool-De Lisblomme,Zeebruggelaan 41   ,Brugge,8380,86,149,,,235
18051,Vrije Basisschool,Zustersstraat 9    ,Brugge,8380,101,123,,,224
18077,Gemeentelijke Basisschool -   Het Anker,Pannenstraat 132  ,Knokke-Heist,8301,91,88,,,179
18085,Vrije Basisschool - OLVO,Stadhuisstraat 4    ,Knokke-Heist,8301,174,318,,,492
18093,"Gemeentelijke Basisschool -   Freinetschool""De Zonnebloem""",Ieperstraat 35   ,Oostende,8400,80,109,,,189
18119,Gemeentelijke Basisschool -   Hendrik Conscience,Stuiverstraat 81   ,Oostende,8400,96,126,,,222
18127,Gemeentelijke Basisschool -   Astrid Van Imschoot,Kroonlaan 18   ,Oostende,8400,83,91,,,174
18135,Gemeentelijke Basisschool -   August Vermeylen,Schermplantenstraat 36   ,Oostende,8400,81,138,,,219
18143,Gemeentelijke Basisschool -   Dr.Ed.Moreaux,Thomas Van Loostraat 56   ,Oostende,8400,81,100,,,181
18151,Gemeentelijke Basisschool -   E. Van Glabbeke,August Vermeylenstraat 71   ,Oostende,8400,59,91,,,150
18168,Gemeentelijke Basisschool -   Emmery Gevaert,Zandvoordedorpstraat 53   ,Oostende,8400,48,79,,,127
18176,Vrije Basisschool,Kloosterstraat 2    ,Oostende,8400,114,138,,,252
18184,Vrije Basisschool,Guido Gezellestraat 19   ,Oostende,8400,174,256,,,430
18192,Vrije Basisschool,Aartshertoginnestraat 38   ,Oostende,8400,96,154,,,250
18218,Vrije Basisschool,Gerststraat 109  ,Oostende,8400,126,223,,,349
18226,Vrije Basisschool,Lijsterbeslaan 5    ,Oostende,8400,53,131,,,184
18234,Vrije Basisschool,Schapenstraat 32   ,Oostende,8400,123,215,,,338
18242,Vrije Basisschool,Aartshertogstraat 26   ,Oostende,8400,148,153,,,301
18259,Vrije Basisschool,Steensedijk 151  ,Oostende,8400,86,147,,,233
18275,Vrije Basisschool,Kaaistraat 22   ,Oostende,8400,88,117,,,205
18283,Vrije Basisschool,Stanleylaan 55   ,Oostende,8400,121,201,,,322
18291,Vrije Basisschool,Peter Benoitlaan 15   ,Bredene,8450,104,196,,,300
18309,Vrije Basisschool - Don Bosco,Nukkerstraat 106  ,Bredene,8450,120,196,,,316
18317,Vrije Lagere School           -(Centrum voor kindzorg en     gezinsondersteuning aan      verbonden),Prinses Elisabethlaan 1    ,Bredene,8450,,67,,,67
18325,Vrije Basisschool - H.Hart,Kerkstraat 70   ,De Haan,8420,71,110,,,181
18333,Gemeentelijke Basisschool,Brugsesteenweg 2    ,De Haan,8420,52,99,,,151
18341,Gemeentelijke Basisschool,Nieuwe Steenweg 37   ,Zuienkerke,8377,71,110,,,181
18358,Vrije Basisschool,Grotestraat 18   ,De Haan,8420,97,148,,,245
18366,Vrije Basisschool,Heidelaan 24   ,De Haan,8420,49,91,,,140
18374,Vrije Basisschool,Kerkstraat 41   ,Middelkerke,8430,82,121,,,203
18382,Gemeentelijke Basisschool -   Middelkerke 1,Onderwijsstraat 5    ,Middelkerke,8430,91,156,,,247
18391,Gemeentelijke Basisschool,Bonte Pierstraat 22   ,Middelkerke,8432,95,171,,,266
18424,Vrije Basisschool,Santhovenstraat 1_B  ,Middelkerke,8434,56,74,,,130
18432,Vrije Basisschool St-Lutgardis,Westendelaan 344  ,Middelkerke,8434,51,92,,,143
18441,Vrije Basisschool,Willem De Roolaan 72   ,Nieuwpoort,8620,160,235,,,395
18457,Gemeentelijke Basisschool -   De Pagaaier,Sint-Jorisplein 31   ,Nieuwpoort,8620,44,99,,,143
18473,Vrije Basisschool,Vrijheidstraat 8    ,Koksijde,8670,75,119,,,194
18481,Gemeentelijke Basisschool,Dorpsstraat 4    ,Koksijde,8670,134,209,,,343
18499,Vrije Basisschool,Helvetiastraat 28   ,Koksijde,8670,105,141,,,246
18515,Gemeentelijke Basisschool,Abdijstraat 101  ,Koksijde,8670,145,241,,,386
18531,Vrije Basisschool - Sint-     PIETER VZW IMMACULATA-        INSTITUUT DE PANNE,Kloosterweg 2    ,De Panne,8660,108,105,,,213
18549,Vrije Basisschool -Immaculata,E. D'Arripelaan 2    ,De Panne,8660,67,156,,,223
18556,Gemeentelijke Basisschool - DeLeerplaneet,Dorpsstraat 24   ,De Panne,8660,68,117,,,185
18564,Vrije Basisschool - College,Houtmarkt 14   ,Veurne,8630,106,195,,,301
18572,Vrije Basisschool - Annuntiata,Dan. De Haenelaan 6    ,Veurne,8630,80,113,,,193
18581,Vrije Kleuterschool,Haenestraat 8    ,Veurne,8630,17,,,,17
18598,Vrije Basisschool -Nieuwstad  -Bulskamp,Brugse Steenweg 77   ,Veurne,8630,109,160,,,269
18614,Gemeentelijke Lagere School,Haenestraat 8    ,Veurne,8630,,24,,,24
18622,Vrije Basisschool,Groeneplaats 1_A  ,Veurne,8630,14,34,,,48
18631,Vrije Basisschool,Kerkhoek 8    ,Veurne,8630,13,35,,,48
18655,Vrije Basisschool             Damiaanschool,Pottelberg 15_A ,Kortrijk,8500,94,138,,,232
18663,Vrije Basisschool - Sint-     Theresia,Oudenaardsesteenweg 204  ,Kortrijk,8500,222,196,,,418
18689,Vrije Basisschool,Krysantenlaan 6    ,Kortrijk,8500,50,327,,,377
18697,Vrije Basisschool,Kollegestraat 8    ,Kortrijk,8500,110,157,,,267
18705,Vrije Basisschool - 't Fort,Plein 9    ,Kortrijk,8500,68,140,,,208
18713,Vrije Basisschool - Sint-     Jozefsinstituut,Groeningelaan 42_A ,Kortrijk,8500,109,89,,,198
18721,Vrije Basisschool - O.L.V. van Vlaanderen,Beverlaai 75   ,Kortrijk,8500,97,218,,,315
18739,Vrije Basisschool Kinderland,Sint-Anna 41   ,Kortrijk,8500,203,349,,,552
18747,Vrije Basisschool Sint-Paulus,Burgemeester Felix de Bethunelaa 1    ,Kortrijk,8500,167,248,,,415
18754,Vrije Basisschool,Sint-Elooisdreef 56_A ,Kortrijk,8500,110,164,,,274
18762,Vrije Basisschool,Kloosterstraat 39   ,Kortrijk,8510,128,193,,,321
18771,Vrije Basisschool - Rodenburg,Rodenburgplein 31   ,Kortrijk,8510,77,116,,,193
18788,Vrije Basisschool,Lauwsestraat 11   ,Kortrijk,8511,139,221,,,360
18796,Vrije Basisschool - De Stap,Wevelgemstraat 2_A  ,Menen,8930,108,171,,,279
18804,Gemeentelijke Basisschool,Hospitaalstraat 14   ,Menen,8930,160,261,,,421
18812,Vrije Basisschool,Kasteeldreef 5    ,Menen,8930,134,162,,,296
18821,Gemeentelijke Basisschool,Moeskroenstraat 525  ,Menen,8930,70,126,,,196
18838,Vrije Basisschool,Bellegemkerkdreef 1    ,Kortrijk,8510,125,159,,,284
18846,Gemeentelijke Basisschool,Halenplein 11   ,Kortrijk,8500,174,68,,,242
18853,Vrije Basisschool,Theophiel Toyeplein 8    ,Zwevegem,8550,126,131,,,257
18861,Vrije Basisschool,Sint-Jozefsstraat 11   ,Zwevegem,8550,100,139,,,239
18879,Vrije Basisschool,Zwevegemstraat 5    ,Zwevegem,8553,78,130,,,208
18887,Gemeentelijke Kleuterschool,Hendrik Consciencestraat 28_a ,Zwevegem,8550,271,,,,271
18903,Vrije Basisschool De Ranke,Kerkdreef 4    ,Anzegem,8570,276,207,,,483
18911,Gemeentelijke Lagere School,Beukenhofstraat 38   ,Anzegem,8570,,193,,,193
18929,Vrije Basisschool,Kerkstraat 91   ,Anzegem,8570,116,193,,,309
18937,Vrije Basisschool,Vichtsesteenweg 109  ,Anzegem,8570,90,108,,,198
18945,Vrije Basisschool - 't Groene poortje,Groeningestraat 11   ,Anzegem,8572,30,56,,,86
18952,Vrije Basisschool,Neerstraat 1    ,Anzegem,8573,55,105,,,160
18961,Vrije Kleuterschool,Ruggestraat 39   ,Avelgem,8580,67,,,,67
18978,Vrije Basisschool, Kloosterstraat 1    ,Avelgem,8580,115,292,,,407
18994,Vrije Kleuterschool,Doorniksesteenweg 557  ,Avelgem,8583,25,,,,25
19001,GO! basisschool De Polyglot Spiere-Helkijn,Oudenaardseweg 75   ,Spiere-Helkijn,8587,172,283,,,455
19026,Vrije Basisschool,Moenplaats 10   ,Zwevegem,8552,93,139,,,232
19034,Gemeentelijke Basisschool,Dalestraat 40   ,Zwevegem,8554,75,128,,,203
19042,Gemeentelijke Basisschool,Vierkeerstraat 26   ,Zwevegem,8551,93,150,,,243
19059,Vrije Basisschool,J. en M. Sabbestraat 132  ,Menen,8930,112,147,,,259
19067,Vrije Basisschool,Vlamingenstraat 172  ,Menen,8930,85,107,,,192
19083,Vrije Basisschool,St. Jansmolenstraat 7    ,Menen,8930,76,104,,,180
19091,Vrije Basisschool,Guido Gezellelaan 77   ,Menen,8930,145,220,,,365
19109,Vrije Basisschool,Binnenhof 53   ,Menen,8930,161,261,,,422
19117,Vrije Basisschool Wijnberg,Kleine Wijnbergstraat 6    ,Wevelgem,8560,79,153,,,232
19125,Vrije Basisschool - Centrum,Schoolstraat 19   ,Wevelgem,8560,103,158,,,261
19133,Vrije Basisschool,Normandiëstraat 57   ,Wevelgem,8560,102,143,,,245
19141,Gemeentelijke Basisschool,Hoogstraat 10   ,Wevelgem,8560,226,397,,,623
19158,Vrije Kleuterschool-Sint-     Vincentius,Driekerkenstraat 6    ,Kortrijk,8501,172,,,,172
19166,Vrije Lagere School,Hendrik Dewildestraat 4    ,Kortrijk,8501,,235,,,235
19174,Vrije Kleuterschool,Dorpsplein 29   ,Wevelgem,8560,258,,,,258
19182,Vrije Lagere School,Poststraat 20   ,Wevelgem,8560,,189,,,189
19191,Vrije Lagere School,Bissegemstraat 22   ,Wevelgem,8560,,181,,,181
19208,Vrije Lagere School,Kasteeldreef 1    ,Wevelgem,8560,,193,,,193
19216,Vrije Basisschool,Rozenstraat 6    ,Wevelgem,8560,216,135,,,351
19224,Vrije Basisschool -           De Peereboom,Hugo Verriestlaan 49   ,Ledegem,8880,132,205,,,337
19232,Vrije Basisschool,Rollegemstraat 216  ,Ledegem,8880,142,161,,,303
19241,Vrije Basisschool,Plaats 29   ,Moorslede,8890,71,167,,,238
19265,Vrije Basisschool,Pastorijstraat 2    ,Moorslede,8890,95,97,,,192
19323,Gemeentelijke Basisschool,Oude Zandvoordestraat 1    ,Zonnebeke,8980,69,111,,,180
19331,Vrije Basisschool,Kloosterlaan 4    ,Zonnebeke,8980,133,153,,,286
19364,Gemeentelijke Basisschool,Berten Pilstraat 7    ,Zonnebeke,8980,51,95,,,146
19372,Vrije Basisschool - De Wijzer Zonnebeke,Ieperstraat 2_a  ,Zonnebeke,8980,115,170,,,285
19381,Vrije Basisschool,Stationstraat 49_A ,Moorslede,8890,128,188,,,316
19398,Gemeentelijke Basisschool,Roeselaarsestraat 60   ,Moorslede,8890,136,149,,,285
19431,Vrije Basisschool,Roeselaarsestraat 334  ,Izegem,8870,95,136,,,231
19448,Vrije Basisschool,Baronielaan 19   ,Izegem,8870,184,300,,,484
19463,Vrije Basisschool,Leenstraat 110  ,Izegem,8870,188,251,,,439
19489,Vrije Basisschool,Prinsessestraat 13   ,Izegem,8870,166,208,,,374
19497,Vrije Basisschool,Hogestraat 66   ,Izegem,8870,149,217,,,366
19505,VBS-Spes Nostra,Koffiestraat 8    ,Kortrijk,8501,,253,,,253
19513,Vrije Basisschool,Watermolenwal 2    ,Kortrijk,8501,173,249,,,422
19521,VBS Spes Nostra,Schoolstraat 2    ,Kortrijk,8501,,208,,,208
19539,Vrije Kleuterschool - Spes    Nostra,Steenstraat 12   ,Kortrijk,8501,304,,,,304
19547,Gemeentelijke Basisschool     Centrumschool Kuurne,Gasthuisstraat 30   ,Kuurne,8520,126,240,,,366
19554,Gemeentelijke Basisschool,Koning Boudewijnstraat 52   ,Kuurne,8520,,120,,,120
19562,Vrije Basisschool St-Michiel,Gen. Eisenhowerstraat 8    ,Kuurne,8520,66,197,,,263
19571,Vrije Kleuterschool,Kortrijksestraat 12_01,Kuurne,8520,101,,,,101
19588,Vrije Basisschool Sint- Pieter,Sint-Michielsweg 2_2  ,Kuurne,8520,130,118,,,248
19596,Gemeentelijke Basisschool     Noord,Tieltsestraat 31   ,Harelbeke,8531,97,108,,,205
19604,Gemeentelijke Basisschool Zuid,Generaal Deprezstraat 91   ,Harelbeke,8530,88,169,,,257
19612,Vrije Basisschool-Heilig Hart,Tuinstraat 21   ,Harelbeke,8530,100,157,,,257
19621,Vrije Basisschool Mariaschool,Schoolstraat 70   ,Harelbeke,8530,91,121,,,212
19638,Vrije Basisschool,Hoogstraat 41   ,Deerlijk,8540,197,197,,,394
19653,Vrije Basisschool,Breestraat 65   ,Deerlijk,8540,119,111,,,230
19661,Vrije Basisschool-St-Lodewijk,Pladijsstraat 296  ,Deerlijk,8540,77,124,,,201
19679,Gemeentelijke Lagere School,Sint-Amandusstraat 16   ,Deerlijk,8540,,199,,,199
19687,Vrije Basisschool,Liebaardstraat 7_A  ,Waregem,8792,66,135,,,201
19695,Gemeentelijke Basisschool,Koekoekstraat 26   ,Waregem,8793,86,140,,,226
19703,Gemeentelijke Basisschool,Koning Albertstraat 41   ,Waregem,8791,85,167,,,252
19711,Vrije Basisschool,Koning Albertstraat 31   ,Waregem,8791,81,102,,,183
19729,Vrije Basisschool,Monseigneur Debrabanderestraat 23   ,Wielsbeke,8710,156,200,,,356
19737,Vrije Basisschool-De Wingerd-,Bruyelstraat 8    ,Harelbeke,8531,118,193,,,311
19745,Vrije Basisschool,Stationsstraat 8    ,Lendelede,8860,191,292,,,483
19752,Vrije Basisschool,Kloosterstraat 1    ,Ledegem,8880,107,159,,,266
19761,Vrije Basisschool,Schoolstraat 8    ,Ingelmunster,8770,131,201,,,332
19794,Gemeentelijke Basisschool -   De Wingerd,Schoolstraat 4_a  ,Ingelmunster,8770,95,143,,,238
19811,Vrije Basisschool,Wielsbekestraat 21   ,Oostrozebeke,8780,239,373,,,612
19828,Vrije Basisschool,Molstenstraat 83   ,Oostrozebeke,8780,74,102,,,176
19836,Vrije Basisschool,Baron van der Bruggenlaan 19   ,Wielsbeke,8710,107,177,,,284
19844,Gemeentelijke Basisschool,Markegemstraat 49   ,Dentergem,8720,75,123,,,198
19851,Vrije Basisschool,Brouwerijstraat 2_A  ,Dentergem,8720,157,247,,,404
19869,Vrije Basisschool,Keukeldam 19   ,Waregem,8790,177,252,,,429
19877,Vrije Basisschool,Remi Baertlaan 2    ,Waregem,8793,94,126,,,220
19885,Vrije Basisschool,Broekstraat 8    ,Waregem,8790,135,268,,,403
19893,Vrije Basisschool,Platanendreef 21   ,Waregem,8790,110,137,,,247
19901,Vrije Basisschool,Bieststraat 75   ,Waregem,8790,154,212,,,366
19919,Gemeentelijke Basisschool,Guido Gezellestraat 20   ,Waregem,8790,130,207,,,337
19927,Gemeentelijke Basisschool-    TORENHOF,Albert Servaeslaan 60   ,Waregem,8790,145,179,,,324
19935,Vrije Basisschool             De Vliegeraar,Willem Bouvier Cartonstraat 46   ,Wielsbeke,8710,95,163,,,258
19943,Gemeentelijke Basisschool,Brugsesteenweg 75   ,Roeselare,8800,192,335,,,527
19951,Gemeentelijke Basisschool,Leeuwerikstraat 30   ,Roeselare,8800,210,279,,,489
19968,Vrije Basisschool Arkorum 11- Vikingschool,Vikingstraat 25   ,Roeselare,8800,102,164,,,266
19976,Vrije Basisschool Arkorum 02- Mozaiëk,Nijverheidsstraat 7    ,Roeselare,8800,77,156,,,233
19992,Vrije Basisschool Arkorum 03- Lenteland,Honzebroekstraat 44   ,Roeselare,8800,104,157,,,261
20008,Vrije Lagere School Arkorum 12De Bever,Wijnendalestraat 19   ,Roeselare,8800,,235,,,235
20016,Vrije Basisschool Arkorum 05- Vrije Centrumschool Burger-   school,Albrecht Rodenbachstraat 16   ,Roeselare,8800,180,118,,,298
20024,Vrije Lagere School Arkorum 09-Sint-Jozef,Tulpenstraat 6    ,Roeselare,8800,,251,,,251
20032,Vrije Basisschool Arkorum 01- Sint-Lutgart,Dokter Delbekestraat 28   ,Roeselare,8800,122,207,,,329
20041,Vrije Basisschool Arkorum 10- Spanjeschool,Vierwegstraat 195  ,Roeselare,8800,139,171,,,310
20065,Vrije Basisschool Arkorum 06- Vrije Basisschool Beveren,Schoolstraat 11   ,Roeselare,8800,195,64,,,259
20073,Gemeentelijke Basisschool,Hoogstraat 58   ,Roeselare,8800,175,243,,,418
20081,Vrije Basisschool Arkorum 16- De Verrekijker,Kloosterstraat 1    ,Roeselare,8800,190,180,,,370
20099,Vrije Basisschool Arkorum 18- Sint-Lodewijk,Meensesteenweg 715  ,Roeselare,8800,89,126,,,215
20107,Vrije Basisschool Arkorum 17- De Zilverberg,Meensesteenweg 417  ,Roeselare,8800,104,173,,,277
20123,Vrije Basisschool Arkorum 08- De Ark,Sint-Eloois-Winkelsestraat 59   ,Roeselare,8800,143,208,,,351
20131,Vrije Basisschool,Slijperstraat 1    ,Staden,8840,222,250,,,472
20149,Gemeentelijke Basisschool,Schoolstraat 9    ,Hooglede,8830,131,114,,,245
20164,Vrije Basisschool - De Mozaiek,Delaeystraat 59   ,Hooglede,8830,45,80,,,125
20198,Vrije Basisschool-Arkorum 14- De Boomgaard,Blekerijstraat 5    ,Ardooie,8850,110,171,,,281
20206,Vrije Basisschool - Arkorum 15De Horizon,Kloosterstraat 6    ,Ardooie,8851,109,154,,,263
20222,Gemeentelijke Basisschool,Hemelstraat 14   ,Ardooie,8850,109,183,,,292
20231,Vrije Basisschool,Paanderstraat 49   ,Meulebeke,8760,67,95,,,162
20248,Vrije Basisschool,Sint-Antoniusstraat 3    ,Meulebeke,8760,62,114,,,176
20255,Vrije Kleuterschool,Karel van Manderstraat 33   ,Meulebeke,8760,217,,,,217
20263,Vrije Basisschool,Marialoopsteenweg 55   ,Meulebeke,8760,76,116,,,192
20271,Vrije Basisschool,Koolskampstraat 4    ,Pittem,8740,162,229,,,391
20289,Vrije Basisschool,Molenakker 97   ,Pittem,8740,66,107,,,173
20305,Vrije Basisschool             't Nieuwland,Ontvangerstraat 7    ,Tielt,8700,215,357,,,572
20313,Vrije Basisschool - Oefen-    school,Driesstraat 1    ,Tielt,8700,166,214,,,380
20347,Vrije Basisschool,Molenweg 2    ,Tielt,8700,140,216,,,356
20354,Vrije Basisschool,Statiestraat 53   ,Dentergem,8720,68,121,,,189
20362,Gemeentelijke Basisschool,Tieltseweg 66   ,Dentergem,8720,54,74,,,128
20371,Vrije Basisschool,Elverdingestraat 18   ,Ieper,8900,167,233,,,400
20388,Vrije Basisschool-Lyceum-     Heilige Familie,Maloulaan 2    ,Ieper,8900,130,263,,,393
20396,Vrije Basisschool,Meenseweg 33   ,Ieper,8900,154,259,,,413
20404,Vrije Basisschool             Immaculata,Goudenpoortstraat 4    ,Ieper,8900,74,126,,,200
20412,Vrije Basisschool,Capucienenstraat 46   ,Ieper,8900,136,251,,,387
20421,Vrije Basisschool,Brugseweg 272  ,Ieper,8900,30,53,,,83
20446,Vrije Kleuterschool,Augustijnenstraat 67   ,Ieper,8900,66,,,,66
20487,Vrije Basisschool,Schietstraat 16   ,Ieper,8900,55,77,,,132
20495,Gemeentelijke Basisschool -   Bikschooltje,Bikschotestraat 107  ,Langemark-Poelkapelle,8920,28,30,,,58
20503,Vrije Basisschool,Zonnebekestraat 27   ,Langemark-Poelkapelle,8920,94,137,,,231
20511,Vrije Basisschool,Klerkenstraat 128  ,Langemark-Poelkapelle,8920,78,149,,,227
20537,Vrije Basisschool - De        Ooievaar,Brugseweg 118  ,Langemark-Poelkapelle,8920,100,109,,,209
20545,Vrije Basisschool,Boezingestraat 2_A  ,Ieper,8904,74,145,,,219
20552,Vrije Basisschool,Bolle Meersstraat 12   ,Ieper,8906,90,151,,,241
20578,Vrije Basisschool,Staanijzerstraat 53   ,Heuvelland,8953,45,65,,,110
20594,Vrije Basisschool,Rijselstraat 21   ,Mesen,8957,60,85,,,145
20602,Vrije Basisschool,Reningelststraat 56   ,Heuvelland,8956,71,109,,,180
20611,Vrije Basisschool,Seulestraat 38   ,Heuvelland,8950,65,114,,,179
20628,Gemeentelijke Basisschool,Koudekotstraat 5    ,Heuvelland,8951,33,38,,,71
20644,"Vrije Basisschool""De          Zonnewijzer""",Pastoorstraat 4    ,Poperinge,8970,66,85,,,151
20651,Vrije Basisschool,Schomminkelstraat 20_a ,Heuvelland,8954,36,51,,,87
20669,Vrije Basisschool,Hospitaalstraat 13   ,Ieper,8908,94,169,,,263
20677,Vrije Basisschool,Boeschepestraat 16   ,Poperinge,8970,227,351,,,578
20685,Vrije Basisschool,Loviestraat 18   ,Poperinge,8970,24,34,,,58
20693,Vrije Basisschool,Bruggestraat 14   ,Poperinge,8970,211,345,,,556
20719,Vrije Basisschool De Waaier,Moenaardestraat 12   ,Poperinge,8978,41,46,,,87
20727,Vrije Basisschool De Kleine   Prins,Trappistenweg 52   ,Poperinge,8978,30,35,,,65
20735,Vrije Basisschool,Hendrik Deberghstraat 8    ,Vleteren,8640,68,72,,,140
20776,Vrije Basisschool - Onze Ark,Woestendorp 4    ,Vleteren,8640,64,117,,,181
20784,Vrije Basisschool De Krekel,Prof.Rubbrechtstraat 58   ,Poperinge,8972,43,81,,,124
20818,Vrije Basisschool,Leiseledorp 17   ,Alveringem,8691,50,96,,,146
20834,Vrije Basisschool De Kastanje,Alexisplein 15   ,Poperinge,8972,79,122,,,201
20842,Gemeentelijke Basisschool -   De Spiegel,Zwijnaardsesteenweg 250  ,Gent,9000,92,141,,,233
20859,Gemeentelijke Basisschool -   De Triangel,Kartuizerlaan 70   ,Gent,9000,151,120,,,271
20875,Gemeentelijke Basisschool -   Het Trappenhuis,Lucas Munichstraat 29   ,Gent,9000,89,129,,,218
20891,Gemeentelijke Basisschool -   De Piramide,Balsamierenstraat 18   ,Gent,9000,118,125,,,243
20909,Gemeentelijke Basisschool -   De Dialoog,Frans van Ryhovelaan 191  ,Gent,9000,119,176,,,295
20917,Gemeentelijke Basisschool -   De Harp,Bagattenstraat 155  ,Gent,9000,87,136,,,223
20925,Gemeentelijke Basisschool -   De Muze,Begijnhofdries 42   ,Gent,9000,87,157,,,244
